PROTEINA	PROTEINB
MED8	RPB3
MET28	MET4
MET28	CBF1
MET30	MET4
MET30	SWE1
MET30	CDC34
MIP6	MEX67
MLC1	MYO2
MLH1	MLH3
MLH1	PMS1
MLH1	MLH2
MLH1	MSH2
MOB1	DBF20
MOB1	CAF17
MOB1	CAF16
MOB1	POP2
MOG1	GSP1
MOT2	NOT5
MPP10	IMP4
MPS1	SPC42
MPS1	MOB1
MPT5	SST2
MPT5	KSS1
MRE11	RAD50
MRP1	MRP4
MRP13	MRP4
MRP20	MRPL19
MRP20	MRPL9
MRP4	PET123
MRP4	MRPS18
MRPL10	MRPL23
MRPL10	MRPL38
MRPL10	MRPL9
MRPL10	MRPL11
MRPL10	YDR116C
MRPL10	MRPL8
	
MRPL10	MRPL17
MRPL10	MRP7
MRPL16	MRPL23
MRPL16	MRP7
MRPL16	MRPL10
MRPL16	MRPL19
MRPL16	MRPL3
MRPL16	MRPL35
MRPL16	MRPL28
MRPL16	MRPL9
MRPL16	MRPL6
MRPL16	MRPL8
MRPL16	MRPL38
MRPL16	MRPL20
MRPL16	MRPL4
MRPL16	YML6
MRPL16	MRPL11
MRPL16	MRPL7
MRPL19	MRP7
MRPL19	MRPL10
MRPL19	MRPL9
MRPL19	MRPL8
MRPL23	MRPL8
MRPL23	MRPL9
MRPL24	MRPL10
MRPL25	MRPL9
MRPL27	MRPL10
MRPL28	MRPL10
MRPL28	MRPL9
MRPL3	MRPL19
MRPL3	MRPL10
MRPL3	MRPL32
MRPL33	MRPL8
MRPL35	MRPL19
MRPL35	MRPL10
MRPL35	MRPL9
MRPL36	MRPL10
MRPL36	MRPL9
MRPL38	MRPL8
MRPL38	MRPL9
MRPL4	MRPL19
MRPL4	MRPL10
MRPL44	MRPL10
MRPL6	MRPL10
MRPL6	MRPL9
MRPL7	MRPL19
MRPL7	MRPL10
MRPL7	MRPL9
MRPL8	MRPL6
MRPL8	MRPL7
MRPL8	MRPL11
MRPL9	YPL183W-A
MRPL9	MRP7
MRPL9	MRPL24
MRPL9	MRPL4
MRPL9	MRPL13
MRPL9	MRPL11
MRPL9	YDR116C
MRPL9	MRPL8
MRPL9	MRP49
MRPL9	MRPL20
MRPL9	YML6
MRPL9	MRPL44
MRPS28	MRP4
MRPS5	MRP2
MRPS5	MRPS18
MRPS5	RSM7
MRPS5	MRP13
MRPS5	MRP10
MRPS5	RSM10
MRPS5	MRPS28
MRPS5	MRP1
MRPS5	MRP4
MRPS5	MRP17
MRPS9	MRP4
MRPS9	MRPS5
MRS11	AAC1
MRS11	TIM22
MRS11	TIM9
MRS5	TIM18
MRS5	MRS11
MSF1	FRS1
MSH2	EXO1
MSH2	PMS1
MSH3	MSH2
MSH3	MLH1
MSH3	PMS1
MSH6	MSH2
MSH6	MLH1
MSH6	PMS1
MSI1	RLF2
MSL1	LEA1
	
MSN5	GSP1
MTO1	MSS1
MTR3	LSM8
MTR3	RRP42
MUD2	PRP39
MYO1	SRO7
MYO1	MYO2
MYO4	MYO1
MYO4	ACT1
NAM7	DBP2
NAM7	DCP2
NAP1	CLB2
NAP1	JIP1
NAS6	RPN10
NAT1	ARD1
NCB2	BUR6
NGG1	HFI1
NGG1	SPT20
NGG1	TOM1
NGG1	TAF60
NGG1	GCN5
NGG1	ADA2
NGG1	TAF61
NGG1	TAF90
NGG1	TAF25
NHP10	INO80
NHP10	IES5
NHP2	GAR1
NHP2	NOP10
NIC96	NUP188
NIC96	NUP192
NIC96	NSP1
NIC96	NUP49
NIC96	NUP57
NIP1	TIF5
NIP1	PRT1
NIP1	TIF34
NIP1	SUI1
NMD2	NAM7
NMD3	NAM7
NMD4	NAM7
NMD5	NUP1
NMD5	NAM7
NMD5	NUP2
NOP1	NOP58
NOP1	SIK1
NOP10	GAR1
NOT3	NOT5
NOT3	MOT2
NPL3	MTR10
NPL4	UFD1
NPL4	CDC48
NSP1	GSP1
NSP1	NUP49
NUF1	SPC98
NUF1	SPC97
NUF2	JNM1
NUP1	MTR10
NUP100	MEX67
NUP100	KAP95
NUP100	NUP116
NUP116	MEX67
NUP116	GLE2
NUP120	SEC13
NUP145	KAP95
NUP145	SEC13
NUP145	NUP120
NUP159	MTR10
NUP159	NMD5
NUP159	KAP95
NUP170	NUP1
NUP2	SRP1
NUP2	KAP95
NUP42	GFD1
NUP42	GLE2
NUP49	NUP57
NUP57	NSP1
NUP82	NUP116
NUP82	NSP1
NUP84	SEC13
NUP84	NUP120
NUP84	NUP85
NUP84	NUP145
NUP84	SEH1
NUP85	SEC13
NUT1	MED7
NYV1	VAM3
OAF1	PIP2
OCA1	SIW14
OCA1	YNL056W
ORC1	ORC4
ORC1	ORC5
	
ORC2	
ORC2	
ORC2	
ORC2	
ORC2	
ORC3	
ORC6	
OSH3	oxysterol-binding protei
OST1	
PAB1	
PAB1	
PAB1	
PAB1	
PAB1	
PAB1	
PAB1	
PAB1	
PAB1	
